-6363744 
-6369545 -4872647 -6372656 -2604527 -4459022 -3501687 -2741837 -6367792 
-6369485 -4863411 -6372625 -2613481 -4466787 -3489457 -2749368 -6367577 
-6369274 -4855982 -6372347 -2625486 -4478427 -3484586 -2760708 -6367721 
-6369414 -4867402 -6372446 -2623011 -4474255 -3497640 -2757567 -6368109 
-6369800 -4880252 -6372896 -2614347 -4465756 -3507244 -2749260 -6368094 
-6369789 -4871616 -6372921 -2616389 -4468133 -3496771 -2751212 -6367472 
-6369163 -4864567 -6372231 -2634437 -4486317 -3491296 -2769504 -6367526 
-6369218 -4870734 -6372230 -2628089 -4480592 -3501594 -2764190 -6368492 
-6370184 -4873867 -6373250 -2604607 -4457070 -3503377 -2740457 -6369346 
-6371037 -4859623 -6374166 -2596704 -4448525 -3485465 -2730862 -6369964 
-6371659 -4837681 -6374756 -2595851 -4448828 -3464669 -2731179 -6371292 
-6372982 -4828322 -6376026 -2579809 -4431745 -3457928 -2716360 -6373280 
-6374972 -4826022 -6378062 -2549771 -4401936 -3453991 -2687347 -6374527 
-6376214 -4823168 -6379382 -2552714 -4404626 -3443814 -2689566 -6374696 
-6376386 -4816060 -6379521 -2571169 -4423937 -3436796 -2708046 -6374914 
-6376604 -4819179 -6379666 -2579256 -4431111 -3443402 -2715689 -6375255 
-6376944 -4840540 -6380022 -2579232 -4429647 -3463221 -2714879 -6375397 
-6377086 -4849648 -6380232 -2581435 -4432646 -3469213 -2717689 -6375126 
-6376817 -4841554 -6379951 -2596614 -4448836 -3461592 -2733772 -6374734 
-6376428 -4842832 -6379480 -2608987 -4460573 -3467543 -2745549 -6374480 
-6376170 -4863556 -6379214 -2609846 -4461436 -3488241 -2747257 -6373981 
-6375669 -4880056 -6378774 -2614790 -4466854 -3501244 -2752860 -6372787 
-6374481 -4880564 -6377587 -2636111 -4488383 -3500522 -2774831 -6371574 
-6373267 -4883556 -6376287 -2653939 -4506066 -3507136 -2793066 -6370977 
-6372671 -4899051 -6375656 -2650451 -4500954 -3525214 -2788627 -6370659 
-6372351 -4909962 -6375404 -2644947 -4495447 -3533330 -2783187 -6369921 
-6371611 -4903709 -6374689 -2654346 -4505206 -3525029 -2792387 -6368999 
-6370696 -4898221 -6373694 -2669087 -4519936 -3521259 -2807041 -6368786 
-6370479 -4906159 -6373433 -2660676 -4511035 -3532092 -2798711 -6368817 
-6370506 -4915729 -6373522 -2648396 -4498455 -3537886 -2787132 -6368322 
-6370010 -4910833 -6373067 -2655374 -4505888 -3529061 -2794042 -6367452 
-6369142 -4902858 -6372134 -2670177 -4520649 -3523066 -2809041 -6367069 
-6368759 -4909017 -6371689 -2669281 -4517009 -3533091 -2806357 -6366931 
-6368621 -4920931 -6371596 -2656486 -4504401 -3543192 -2794104 -6366426 
-6368112 -4920067 -6371142 -2662544 -4510758 -3537842 -2800026 -6365328 
-6367016 -4913734 -6369996 -2680942 -4529867 -3532432 -2819047 -6364674 
-6366364 -4918914 -6369269 -2682792 -4530877 -3542047 -2820416 -6364770 
-6366462 -4928926 -6369399 -2666427 -4514661 -3551242 -2804527 -6364442 
-6366129 -4928684 -6369136 -2664297 -4514077 -3545786 -2804192 -6363578 
-6365259 -4919411 -6368234 -2680102 -4529744 -3536713 -2819291 -6363276 
-6364956 -4915168 -6367848 -2678061 -4527140 -3537344 -2816526 -6363178 
-6364863 -4928821 -6367767 -2668605 -4517958 -3548369 -2808689 -6362744 
-6364427 -4934697 -6367405 -2667257 -4517236 -3549987 -2808366 -6361688 
-6363374 -4926892 -6366335 -2683135 -4533584 -3541859 -2823876 -6361091 
-6362777 -4920107 -6365651 -2686297 -4534900 -3540139 -2824864 -6361430 
-6363114 -4923470 -6365987 -2665621 -4514479 -3544796 -2804791 -6361936 
-6363622 -4920255 -6366578 -2647891 -4496737 -3537820 -2788495 -6361557 
-6363242 -4910907 -6366208 -2663219 -4511631 -3524620 -2802757 -6360694 
-6362384 -4909916 -6365261 -2682008 -4530084 -3526382 -2819429 -6360129 
-6361818 -4924316 -6364654 -2673974 -4525962 -3542751 -2815422 -6359926 
-6361617 -4932643 -6364525 -2663622 -4514607 -3548022 -2805431 -6359306 
-6360994 -4925362 -6363939 -2673761 -4523357 -3537852 -2813886 -6358359 
-6360045 -4919710 -6362909 -2688593 -4538645 -3535506 -2828571 -6358319 
-6360008 -4922924 -6362820 -2676852 -4525691 -3544186 -2815859 -6358351 
-6360041 -4931308 -6362917 -2664685 -4515705 -3548831 -2805855 -6358106 
-6359792 -4923083 -6362720 -2665337 -4516208 -3538352 -2806249 -6357978 
-6359664 -4905304 -6362535 -2669571 -4519552 -3523824 -2808881 -6358432 
-6360120 -4902192 -6362932 -2659584 -4508505 -3524042 -2797987 -6359157 
-6360845 -4908670 -6363711 -2641957 -4491931 -3528225 -2782099 -6359233 
-6360921 -4905108 -6363855 -2642975 -4495694 -3520256 -2785249 -6358828 
-6360516 -4894583 -6363399 -2656147 -4508571 -3511522 -2797881 -6358806 
-6360492 -4895591 -6363298 -2655702 -4506546 -3516472 -2796789 -6359539 
-6361230 -4901830 -6364074 -2636374 -4486760 -3521918 -2777182 -6359937 
-6361629 -4898437 -6364549 -2630826 -4482726 -3513348 -2772795 -6359817 
-6361506 -4884481 -6364408 -2641024 -4492932 -3499581 -2781737 -6360389 
-6362079 -4876812 -6364901 -2637629 -4487487 -3496518 -2776364 -6361632 
-6363321 -4879526 -6366163 -2613605 -4464332 -3499228 -2754534 -6362716 
